date,prophet,lstm,rf,gb,ensemble,is_forecast
2019-04-08,2792.889213799406,4314.221819773912,6198.01,6198.01,4270.825231451936,False
2019-04-09,2795.8870527378617,4314.222070376277,6198.01,6198.01,4272.024442208028,False
2019-04-10,2798.6962772937254,4314.222070376277,6198.01,6198.01,4273.148132030374,False
2019-04-11,2799.274280615778,4314.222070376277,6198.01,6198.01,4273.379333359195,False
2019-04-12,2801.5211301725626,4314.221819773912,6198.01,6198.01,4274.277998001199,False
2019-04-15,2804.197870606645,4314.222070376277,6198.01,6198.01,4275.348769355542,False
2019-04-16,2806.783407073379,4314.222320978641,6198.01,6198.01,4276.383059122943,False
2019-04-17,2809.1255371357233,4314.222070376277,6198.01,6198.01,4277.319835967172,False
2019-04-18,2809.1827755207237,4314.222070376277,6198.01,6198.01,4277.342731321172,False
2019-04-19,2810.8776890122795,4314.222070376277,6198.01,6198.01,4278.020696717795,False
2019-04-22,2811.7422438917483,4314.221819773912,6198.01,6198.01,4278.366443488873,False
2019-04-23,2813.7060052693587,4314.222070376277,6198.01,6198.01,4279.152023220627,False
2019-04-24,2815.426411467376,4314.222070376277,6198.01,6198.01,4279.8401856998335,False
2019-04-25,2814.865237034261,4314.222070376277,6198.01,6198.01,4279.615715926588,False
2019-04-26,2815.9608167436804,4314.221819773912,6198.01,6198.01,4280.053872629646,False
2019-04-29,2815.1872346690393,4314.222070376277,6198.01,6198.01,4279.744514980499,False
2019-04-30,2816.6873991405623,4314.221819773912,6198.01,6198.01,4280.3445055883985,False
2019-05-01,2817.996408567746,4314.222070376277,6198.01,6198.01,4280.8681845399815,False
2019-05-02,2817.0823530026664,4314.221819773912,6198.01,6198.01,4280.502487133241,False
2019-05-03,2817.894855206479,4314.222070376277,6198.01,6198.01,4280.827563195475,False
2019-05-06,2816.7572442161427,4314.221819773912,6198.01,6198.01,4280.372443618631,False
2019-05-07,2818.324245509238,4314.222070376277,6198.01,6198.01,4280.999319316578,False
2019-05-08,2819.8047911160857,4314.222070376277,6198.01,6198.01,4281.591537559318,False
2019-05-09,2819.171144741804,4314.221819773912,6198.01,6198.01,4281.338003828895,False
2019-05-10,2820.3801805107432,4314.222070376277,6198.01,6198.01,4281.821693317181,False
2019-05-13,2821.1431933564986,4314.222320978641,6198.01,6198.01,4282.126973636192,False
2019-05-14,2823.585405389977,4314.221819773912,6198.01,6198.01,4283.103708088164,False
2019-05-15,2826.0566427779354,4314.222070376277,6198.01,6198.01,4284.092278224058,False
2019-05-16,2826.5179742942396,4314.222070376277,6198.01,6198.01,4284.276810830579,False
2019-05-17,2828.9274320520467,4314.222070376277,6198.01,6198.01,4285.240593933702,False
2019-05-20,2833.7697662841133,4314.221819773912,6198.01,6198.01,4287.177452445819,False
2019-05-21,2837.693591355839,4314.221819773912,6198.01,6198.01,4288.746982474509,False
2019-05-22,2841.673559148598,4314.221819773912,6198.01,6198.01,4290.338969591613,False
2019-05-23,2843.637180638665,4314.221819773912,6198.01,6198.01,4291.12441818764,False
2019-05-24,2847.542610283791,4314.222070376277,6198.01,6198.01,4292.6866652264,False
2019-05-27,2856.509270060894,4314.222070376277,6198.01,6198.01,4296.273329137241,False
2019-05-28,2861.6289718731555,4314.222320978641,6198.01,6198.01,4298.3212850428545,False
2019-05-29,2866.6678386741646,4314.222070376277,6198.01,6198.01,4300.336756582549,False
2019-05-30,2869.511985406399,4314.222070376277,6198.01,6198.01,4301.474415275443,False
2019-05-31,2874.134380315533,4314.222070376277,6198.01,6198.01,4303.323373239096,False
2019-06-03,2883.9747674665105,4314.222070376277,6198.01,6198.01,4307.259528099487,False
2019-06-04,2888.950499208094,4314.222070376277,6198.01,6198.01,4309.249820796121,False
2019-06-05,2893.606983123512,4314.222070376277,6198.01,6198.01,4311.112414362288,False
2019-06-06,2895.811517747181,4314.222070376277,6198.01,6198.01,4311.994228211755,False
2019-06-07,2899.5794847748225,4314.222070376277,6198.01,6198.01,4313.501415022813,False
2019-06-10,2905.5606598266468,4314.222070376277,6198.01,6198.01,4315.893885043542,False
2019-06-11,2908.906683924934,4314.221819773912,6198.01,6198.01,4317.232219502147,False
2019-06-12,2911.7944563831256,4314.222070376277,6198.01,6198.01,4318.387403666134,False
2019-06-13,2912.1105931136276,4314.221819773912,6198.01,6198.01,4318.513783177625,False
2019-06-14,2913.9289021925574,4314.221819773912,6198.01,6198.01,4319.241106809197,False
2019-06-17,2913.9827617863816,4314.222070376277,6198.01,6198.01,4319.262725827436,False
2019-06-18,2915.464768268288,4314.221819773912,6198.01,6198.01,4319.855453239489,False
2019-06-19,2916.6018355300903,4314.222320978641,6198.01,6198.01,4320.310430505629,False
2019-06-20,2915.3136972650777,4314.222070376277,6198.01,6198.01,4319.795100018914,False
2019-06-21,2915.712417670688,4314.222070376277,6198.01,6198.01,4319.954588181158,False
2019-06-24,2912.865851442928,4314.222070376277,6198.01,6198.01,4318.815961690055,False
